time,vehicle_id,x,y,speed,lon,lat
73.7,0_55,357.28,3936.84,13.14,9.72070930516137,52.36384657375923
73.8,0_55,358.05,3935.78,13.04,9.720716222189058,52.36384075911068
73.9,0_55,358.82,3934.71,13.17,9.720723139216744,52.36383488960618
74.0,0_55,359.58,3933.64,13.1,9.720729966412906,52.36382902010091
74.1,0_55,360.35,3932.58,13.16,9.720736883440592,52.36382320545005
74.2,0_55,361.12,3931.51,13.14,9.720743800468282,52.363817335943224
74.3,0_55,361.88,3930.45,13.05,9.720750627664438,52.363811521290835
74.4,0_55,362.65,3929.38,13.17,9.720757544692125,52.36380565178245
74.5,0_55,363.41,3928.32,13.08,9.720764371888286,52.36379983712852
74.6,0_55,364.17,3927.26,13.08,9.720771199084446,52.36379402247381
74.7,0_55,364.94,3926.2,13.04,9.720778116112132,52.36378820781836
74.8,0_55,365.7,3925.13,13.13,9.720784943308292,52.363782338306876
74.9,0_55,366.47,3924.07,13.06,9.72079186033598,52.36377652364988
75.0,0_55,367.23,3923.01,13.07,9.720798687532138,52.36377070899211
75.1,0_55,368.0,3921.94,13.12,9.720805604559828,52.36376483947831
75.2,0_55,368.76,3920.88,13.15,9.720812431755986,52.363759024819004
75.3,0_55,369.53,3919.81,13.14,9.720819348783676,52.36375315530365
75.4,0_55,370.3,3918.74,13.11,9.720826265811363,52.36374728578751
75.5,0_55,371.06,3917.68,13.1,9.72083309300752,52.36374147112589
75.6,0_55,371.83,3916.61,13.17,9.72084001003521,52.36373560160822
75.7,0_55,372.59,3915.55,13.07,9.720846837231369,52.363729786945065
75.8,0_55,373.36,3914.48,13.15,9.720853754259057,52.36372391742582
75.9,0_55,374.13,3913.42,13.08,9.720860671286744,52.36371810276113
76.0,0_55,374.89,3912.35,13.15,9.720867498482901,52.363712233240335
76.1,0_55,375.66,3911.29,13.13,9.72087441551059,52.36370641857411
76.2,0_55,376.43,3910.22,13.14,9.720881332538278,52.36370054905177
76.3,0_55,377.19,3909.16,13.09,9.720888159734438,52.363694734384005
76.4,0_55,377.96,3908.1,13.09,9.720895076762126,52.36368891971548
76.5,0_55,378.73,3907.03,13.17,9.720901993789813,52.36368305019081
76.6,0_55,379.49,3905.96,13.15,9.720908820985972,52.363677180665356
76.7,0_55,380.26,3904.89,13.13,9.72091573801366,52.36367131113912
76.8,0_55,381.03,3903.83,13.13,9.720922655041349,52.36366549646751
76.9,0_55,381.79,3902.76,13.14,9.720929482237509,52.36365962693974
77.0,0_55,382.56,3901.7,13.07,9.720936399265195,52.363653812266584
77.1,0_55,383.32,3900.63,13.16,9.720943226461356,52.36364794273725
77.2,0_55,384.09,3899.57,13.07,9.720950143489043,52.36364212806257
77.3,0_55,384.85,3898.51,13.12,9.7209569706852,52.36363631338711
77.4,0_55,385.62,3897.44,13.15,9.720963887712891,52.36363044385546
77.5,0_55,386.39,3896.37,13.14,9.720970804740576,52.36362457432302
77.6,0_55,387.16,3895.3,13.14,9.720977721768264,52.3636187047898
77.7,0_55,387.92,3894.24,13.16,9.720984548964424,52.36361289011127
77.8,0_55,388.69,3893.17,13.11,9.720991465992112,52.363607020576495
77.9,0_55,389.46,3892.11,13.15,9.720998383019799,52.36360120589642
78.0,0_55,390.22,3891.05,13.05,9.721005210215958,52.36359539121558
78.1,0_55,390.99,3889.98,13.14,9.721012127243647,52.36358952167849
78.2,0_55,391.75,3888.92,13.1,9.721018954439806,52.36358370699611
78.3,0_55,392.51,3887.86,13.05,9.721025781635964,52.36357789231297
78.4,0_55,393.28,3886.79,13.13,9.721032698663654,52.363572022773546
78.5,0_55,394.05,3885.72,13.13,9.72103961569134,52.36356615323335
78.6,0_55,394.82,3884.66,13.16,9.72104653271903,52.3635603385479
78.7,0_55,395.58,3883.59,13.13,9.721053359915189,52.36355446900615
78.8,0_55,396.35,3882.52,13.14,9.721060276942877,52.36354859946361
78.9,0_55,397.12,3881.46,13.09,9.721067193970564,52.36354278477585
79.0,0_55,397.88,3880.39,13.17,9.721074021166721,52.36353691523177
79.1,0_55,398.65,3879.32,13.17,9.72108093819441,52.36353104568691
79.2,0_55,399.42,3878.26,13.08,9.721087855222097,52.363525230996835
79.3,0_55,400.18,3877.2,13.06,9.721094682418258,52.363519416306005
79.4,0_55,400.95,3876.13,13.14,9.721101599445944,52.36351354675881
79.5,0_55,401.71,3875.07,13.12,9.721108426642104,52.36350773206644
